도서명,저자,출판사,출판년도,청구기호,등록번호
(전은지 선생님이 들려주는) 도전! 우주 미션,"전은지 글,김다정 그림",우리학교,2021,558,HBML00053
"안녕,  나의 사춘기  : 누구에게도 말하지 못했던 어린이들의 성 이야기","아하!서울시립청소년성문화센터,김혜영,박현이,정수현,안치현, 손수정",Mirae N 아이세움 :미래엔,2020,598.5,HBML00054
육키즈 퀴즈,"학교앞문방구 글,이성훈 그림",아해와,2020,031,HBML00055
코로나19  : 우리가 코로나19에 대해 알아야 할 모든 것,"김난영, 신영미,이은정",대원씨아이 :대원키즈,2020,513,HBML00056
재치있는 의생활  : 나답게 나를 표현해요,"홍준희 글,문다정 그림",다림,2020,592,HBML00057
꼬마 거미 당당이,유명금 글 그림.,봄봄,2021,813.8,HBML00058
끼리 기자의 가족의 발견,"서보현 지음,홍기한 그림",개암나무,2021,375.1,HBML00059
할머니의 지청구,"공광규 지음,안선재 옮김,연수 그림",바우솔,2021,811.8,HBML00060
세계의 문자 : 설형 문자에서 이모티콘까지,"비탈리 콘스탄티노프 지음,이미화 옮김",지양사,2021,701,HBML00061
전기전자,"조영선,만화: 이영호",예림당,2018,408,HBML00062
고려시대,"이근 지음,극동만화연구소 그림,문철영 감수",예림당,2016,911,HBML00063
인류,"이광웅 글.,32",예림당,2019,900,HBML00064
전쟁,"이근 글,극동만화연구소 그림",예림당,2012,911,HBML00065
과학수사,"조영선,만화: 이영호",예림당,2018,408,HBML00066
뇌,남춘자 글,예림당,2011,408,HBML00067
독 있는 동식물,"정수은,만화: 송회석",예림당,2011,472,HBML00068
생명과학,허순봉 글,예림당,2011,408,HBML00069
동굴,"정수은,만화: 강진호",예림당,2011,452,HBML00070
실험관찰,"전재운,만화: 최익규",예림당,2011,400,HBML00071
동아시아 문명의 발전,"전유밀 글,김재선 그림,김창윤,유수환 공사진",예림당,2011,900,HBML00072
유럽의 성립과 발전,그림나무 글.그림,예림당,2011,909,HBML00073
질병,허순봉 글,예림당,2011,408,HBML00074
)독 있는 동식물,"정수은 글,송회석 만화,심재한 감수",예림당,2008,408,HBML00075
과학사건,"박상욱,만화: 이태훈",예림당,2011,409,HBML00076
)빛과 소리,조영선 글,예림당,2011,408,HBML00077
생활과학,"파피루스,만화: 이두원",예림당,2011,400,HBML00078
세계사; 13,"남춘자 글,크레파스 그림",예림당,2011,909,HBML00079
컴퓨터,"조영선,만화: 그림수레",예림당,2011,408,HBML00080
날씨,"이광웅,만화: 이혜조",예림당,2011,408,HBML00081
Why? 33,"조영선 글,이영호 만화",예림당,2015,408,HBML00082
와이,"author Kwangwoong Lee,cartoonist Grimsure",Yearimdang,2010,747,HBML00083
로켓과 탐사선,황근기 글,예림당,2011,408,HBML00084
새,남춘자 글,예림당,2011,408,HBML00085
초등과학학습만화 Why ?,예림당 지음,예림당,2010,408,HBML00086
초등과학학습만화 Why ?,예림당 지음,예림당,2010,408,HBML00087
승자와 패자,"이근 글,극동만화연구소 그림,김창윤,유수환 공사진",예림당,2011,910,HBML00088
핵과 에너지,"이광웅 글,임우영 만화",예림당,2011,408,HBML00089
화석,"이광웅 글,송회석 만화",예림당,2011,408,HBML00090
혁명의 시대와 민주주의 발전,"그림나무 글,김홍선 그림",예림당,2011,909,HBML00091
조선후기,이근 글,예림당,2011,911,HBML00092
바다,이광웅 글,예림당,2011,408,HBML00093
인류의 기원과 문명의 발생,"김승렬 글,최복기 그림,김창윤,유수환 공사진",예림당,2011,900,HBML00094
) 현대사회의 변화,"신승희 글,이영호 그림,김창윤,유수환 공사진",예림당,2011,900,HBML00095
로봇,"조영선,만화: 이영호",예림당,2011,408,HBML00096
)공룡,이항선 글,예림당,2011,408,HBML00097
)파충 양서류,파피루스 글,예림당,2011,408,HBML00098
)물고기,김남길 글,예림당,2011,408,HBML00099
동물,"이광웅,만화: 그림수레",예림당,2011,408,HBML00100
화석,"이광웅 글,송회석 만화",예림당,2011,408,HBML00101
바다,이광웅 글,예림당,2011,408,HBML00102
(Why?)유전과 혈액형,"전재운 글,최명구 만화",예림당,2017,408,HBML00103
물,"김남석,만화: 안수용",예림당,2011,458,HBML00104
고려시대,"이근 지음,극동만화연구소 그림,문철영 감수",예림당,2016,911,HBML00105
물리,"조영선 글,이영호 만화",예림당,2011,408,HBML00106
응급처치,"파피루스,만화: 이준희",예림당,2011,408,HBML00107
외계인과 UFO,"이광웅 글,송회석 만화,김창윤,유수환 공사진",예림당,2011,408,HBML00108
동물,"이광웅,만화: 그림수레",예림당,2011,408,HBML00109
)무력 시대와 제국주의 팽창,"신경애 글,두리안 그림",예림당,2011,909,HBML00110
)별과 별자리,파피루스 글,예림당,2011,408,HBML00111
)인체,"허순봉 글,송회석 만화",예림당,2011,408,HBML00112
영웅이야기,"이근, 극동만화연구소",예림당,2011,911,HBML00113
초등과학학습만화 Why ?,예림당 지음,예림당,2010,408,HBML00114
?)똥,허순봉 글,예림당,2011,408,HBML00115
장수풍뎅이와 사슴벌레,"남춘자,만화: 최명구",예림당,2011,408,HBML00116
발명·발견,글·만화: 김민재,예림당,2011,408,HBML00117
(Why?) 환경,"허순봉,만화: 김강호",예림당,2011,408,HBML00118
)전통과학,허순봉 글,예림당,2011,408,HBML00119
물,"김남석,만화: 안수용",예림당,2011,458,HBML00120
(Why?)남극·북극,"이광웅 글,가재발 만화",예림당,2017,408,HBML00121
곤충,"이광웅 글,송회석 만화,김창윤,유수환 공사진",예림당,2011,408,HBML00122
한국사시리즈 1 - 14,"이근 글,극동만화연구소 그림,문철영 감수",,2011,911,HBML00123
유전과 혈액형,전재운 글,예림당,2011,408,HBML00124
서양 근대 사회의 시작,"크레파스 글. 그림,김창윤,유수환 공사진",예림당,2011,900,HBML00125
한국사시리즈 1 - 14,"이근 글,극동만화연구소 그림,문철영 감수",,2011,911,HBML00126
왕자와 공주,"이근 글,극동만화연구소 그림",예림당,2011,911,HBML00127
(Why?) 중국과 인도의 고대 문명,"엄효연 글,배광선 그림",예림당,2018,909,HBML00128
(Why?)삼국의 전쟁,"이근 글,극동만화연구소 만화",예림당,2017,911,HBML00129
(why) 지구,"이광웅 글,이혜조 만화",예림당,2018,408,HBML00130
(Why?) 세계사 동아시아 전통 사회의 발전,그림나무 글·그림,예림당,2012,909,HBML00131
(why?) 식물,"이광웅 글,김병철 만화",예림당,2016,408,HBML00132
stars,웅진출판사편집부 편,웅진출판사,2004,747,HBML00133
double header,웅진출판사편집부 편,웅진출판사,2004,747,HBML00134
doll party,웅진,웅진닷컴,2003,747,HBML00135
where is my broom?,동화,웅진닷컴,2003,740.8,HBML00136
king big wig,by Gail Herman 등,웅진닷컴,2006,740.8,HBML00137
"Princess for a day = ,공주가 되는 날","Maryann Cocca-Leffler 지음,웅진닷컴 편집부 편역",웅진닷컴,2005,740.8,HBML00138
"monkey see, monkey do",by Maryann Cocca-Leffler,웅진닷컴,2007,747,HBML00139
Monster and muffin,"by Joanna Cole,ill. by Karen Lee Schmidt",웅진닷컴,2007,740.8,HBML00140
웅진영어동화,by Wendy Cheyette Lewison 등,웅진닷컴,2007,747,HBML00141
splat,by Wendy Cheyette Lewison 등,웅진닷컴,2007,747,HBML00142
the little engine that clould,웅진닷컴편집부 지음,웅진닷컴,2004,740.8,HBML00143
The big snowball,wendy cheyette lewison,웅진닷컴,2005,740.8,HBML00144
"Is That you, Santa?","Jane O'Connor 저,Rick Brown 그림",WOONGJIN,2006,740.8,HBML00145
bad hair day,by Maryann Cocca-Leffler,웅진닷컴,2005,747,HBML00146
달에 토끼가 산다면,한태희 글.그림,웅진다책,2015,375.1,HBML00147
(진짜 일 학년) 용돈 작전을 펼쳐라!,"신순재 글,안은진 그림",천개의바람,2019,813.7,HBML00148
사과 따러 가요,"이미애 글,최민오 그림",웅진씽크북,2018,375.1,HBML00149
양말 뱀 슬슬이,"공지희 글,김소희 그림",웅진씽크북,2018,375.1,HBML00150
변신 로봇,"김남중 글,한상언 그림",웅진다책,2015,375.1,HBML00151
오늘은 내 생일이야,"헬렌 옥슨베리 글·그림,햇살과나무꾼 옮김",웅진씽크북,2018,375.1,HBML00152
당근은 왜 빨갛지?,"마츠타니 미요코 글,히라야마 에이조 그림,햇살과나무꾼 옮김",웅진다책:웅진씽크빅,2012,375.1,HBML00153
(초등과학학습만화),예림당 편집부,예림당,2009,408,HBML00154
미천왕 : 삼국사기 : 소금 장수에서 왕이 되다,"원작: 김부식, 구들, 김재성",한국퍼킨스,2004,911.03,HBML00155
안장왕 : 신분과 국경을 초월해 사랑하다,"김부식 원작,구들 ,김윤이 그림",한국퍼킨스,2009,911.03,HBML00156
혜통 : 요괴를 항복시키다 : 삼국유사,"일연 원작,구들 글,함현주 그림",한국퍼킨스,2014,911.03,HBML00157
원광법사 : 여우의 도움을 받다,"일연 원작,구들 글,최양숙 그림",한국퍼킨스,2009,911.03,HBML00158
이사부 : 나무 사자로 우산국을 정복하다 : 삼국사기,"김부식 원작,구들 글,김마늘 그림",한국퍼킨스,2014,911.03,HBML00159
궁예 : 고구려를 부활시키다 : 삼국사기,"김부식 원작,구들 글,최동식 그림",한국퍼킨스,2014,911.03,HBML00160
을지문덕: 수나라 백만 대군을 물리치다 - 삼국사기,"김부식 원작,구들 글,한경호 그림",한국퍼킨스,2008,911.03,HBML00161
방정환,"김병규 글,박철민 그림",프뢰벨,2015,990.8,HBML00162
페스탈로치,"황선미 글,심은숙 그림",프뢰벨,2012,990.8,HBML00163
허준,"우리누리 글,이형진 그림",프뢰벨,2004,990.8,HBML00164
유일한,"우리누리 글,윤미숙 그림",프뢰벨미디어,2008,990.8,HBML00165
"공자 = ,Confucius","푸 쯔잉 글,장 스민 그림,박희선 옮김",한국프뢰벨:프뢰벨미디어,2004,990.8,HBML00166
마더 테레사,"프뢰벨 편집부 편저.,23",한국프뢰벨주식회사,2006,990.8,HBML00167
에디슨,"하오 광차이 글,파올로 달탄 그림,박희선 옮김",프뢰벨,2006,990.8,HBML00168
백남준,"김종렬 글,유진희 그림",한국프뢰벨:프뢰벨미디어,2003,990.8,HBML00169
손순 : 신비한 종으로 하늘을 울리다 : 삼국유사,"일연 원작,구들 글,이재훈 그림",한국삐아제,2009,911.03,HBML00170
(백제)혜현 스님,"일연 원작,구들 글,문의순 그림",한국퍼킨스,2009,911.03,HBML00171
개로왕 도림의 바둑에 속다 - 삼국사기,"김부식 원작,구들 글,전수진 그림",한국퍼킨스,2008,911.03,HBML00172
조선의 개혁을 꿈꾼 학자들,"노대환 글,장정오 그림",그레이트북스,2012,911,HBML00173
유리 왕자  : 아버지를 찾아 여행하다,"원작: 일연, 구들, 조신애",한국퍼킨스,2012,911.03,HBML00174
빨간 점 괴물이다!,"박자경 글,곽선영 그림",교원,2005,408,HBML00175
땡! 땡! 땡! 세 시까지,"유영소 글,박수정 그림",교원,2006,408,HBML00176
마을 쉼터 만들기,"박안나 글,최민오 그림",교원,2005,408,HBML00177
아주 큰 어항,"이상교 글,심미아 그림",교원,2006,408,HBML00178
큰일 났어요!,"김향이 글,한병호 그림",교원,2008,408,HBML00179
잠이 오지 않아요,"허은미 글,최숙희 그림",교원,2008,408,HBML00180
수학 개념동화 : 수의 기초 개념,"어림셈.,11,알뜰장에서 만나요",교원,2006,408,HBML00181
"의악,  태풍이다!","유영소 글,이혜경 그림",교원,2008,408,HBML00182
(통일신라)장보고 : 삼국사기,"김부식 원작,구들 글,송준일 그림",한국퍼킨스,2009,911.03,HBML00183
박혁거세 : 신라를 세우다 : 삼국유사,"일연 원작,구들 글,최은경 그림",한국퍼킨스,2014,911.03,HBML00184
돈키호테,"미겔 데 세르반테스 원작,강원희 엮음,민은경 그림",두산동아,2005,808.9,HBML00185
"피터와 늑대,전자책","세르게이 프로코피예프 저,유정화 역,율리아 구코바 그림",두산동아,2007,808.9,HBML00186
알라딘과 요술램프,"김병규 엮음,김미정 그림",두산동아,2005,808.9,HBML00187
망치는 나만 보면 짖어요,"공진하 글,오승만 그림",웅진다책,2015,375.1,HBML00188
로빈 후드,"원유순 엮음,백명식 그림",두산동아,2005,808.9,HBML00189
"베니스의 상인,전자책","윌리엄 셰익스피어 저,원유순 역,김삼현 그림",두산동아,2007,808.9,HBML00190
석탈해 : 궤짝에서 나와 왕이 되다 : 삼국유사,"일연 원작,구들 글,성호석 그림",한국퍼킨스,2014,911.03,HBML00191
연오랑과 세오녀 : 왜국을 다스리다 : 삼국유사,"일연 원작,구들 글,최지경 그림",한국퍼킨스,2014,911.03,HBML00192
"신라,  한반도의 중심에 서다","김운의 글,이유나 그림",그레이트북스,2014,911,HBML00193
이랴 하면 가는 말,"한상남 글,박재철 그림",재능교육,2013,375.1,HBML00194
"신라,  백제를 무너뜨리다","김운의 글,박승범 그림",그레이트북스,2014,911,HBML00195
기술의 나라 백제,"박윤규 글,채진주 그림",그레이트북스,2012,911,HBML00196
빈센트 반 고흐,"차오 메이후이 글,파올로 루이 그림,박희선 옮김",프뢰벨,2007,990.8,HBML00197
"스티븐 스필버그 = ,Steven Spielberg","김종렬 글,강인춘 그림",프뢰벨,2004,990.8,HBML00198
김구,"황선미 글,김동성 그림",프뢰벨,2006,990.8,HBML00199
안중근,"강숙인, 이영원",프뢰벨 :프뢰벨미디어,2013,990.8,HBML00200
유관순,"강숙인 글,김세현 그림",한국프뢰벨:프뢰벨미디어,2004,990.8,HBML00201
간디,"우리누리, 최민오",프뢰벨 :프뢰벨미디어,2013,990.8,HBML00202
세상에서 가장 멋진 선물,"허은미 글,최숙희 그림",교원,2012,408,HBML00203
엄마 닭은 어디 갔을까?,"유영소 글,박수정 그림",교원,2012,408,HBML00204
"손전등,  네가 가져","이상교 글,심미아 그림",교원,2012,408,HBML00205
"둥둥둥,  북소리","박안나 글,최민오 그림",교원,2007,408,HBML00206
무엇이 무엇이 다를까?,"박자경 글,곽선영 그림",교원,2005,408,HBML00207
윤봉길,"우리누리 글,최민오 그림",프뢰벨,2007,990.8,HBML00208
와니와니의 목욕,"고카제 사치 글,야마구치 마오 그림,고향옥 옮김",웅진다책,2015,375.1,HBML00209
(월드픽처북)파란 고양이 내쫓기 작전,올가 프로센크 글·그림,교원,2008,808.9,HBML00210
손님 오는 날,"유영소 글,이혜경 그림",교원,2003,408,HBML00211
안개 마을,재능교육 편집부 엮음,재능교육,2012,375.1,HBML00212
송이의 신기한 여행,재능교육 편집부 엮음,재능교육,2012,375.1,HBML00213
백두산 천지,"정해왕 글,최민오 그림",웅진닷컴,2011,813.5,HBML00214
한강에서 일어난 해상 왕국 백제,"박윤규 글,김종민 그림",그레이트북스,2014,911,HBML00215
삼국을 통일한 신라,"김운의 글,김용선 그림",그레이트북스,2012,911,HBML00216
나라의 운명을 걸고 수,"김용만 글,이우창 그림",그레이트북스,2014,911,HBML00217
지네 처녀,"박경진 그림,양재홍 글",웅진다책:웅진씽크빅,2010,813.5,HBML00218
온순한 초식공룡,이융남,한국아이엔이,2006,457,HBML00219
탈것 친구들,"마리옹 비예 그림,권지현 옮김",웅진북클럽 :웅진씽크빅,2019,375.1,HBML00220
자연 친구들,마리옹 비예 그림,웅진북클럽,2020,375.1,HBML00221
황금 거위,"원작: 그림형제, 이소희, 김미경",키즈플러스,2014,853,HBML00222
중국 황제가 된 머슴,"권도연 글,임운규 그림",한국슈타이너,2007,813.5,HBML00223
곤충의 짝찟기,"글·구성: 한국자연관찰탐구회, 이주민",한국슈바이처,2006,408,HBML00224
(보고 상상하고) 우리 역사 박물관,"유새롬 글,권태균,양희석 공사진,방대훈 외 그림",그레이트북스,2014,911,HBML00225
"고려,  태평성대를 노래하다","장지연 글,이선민 그림",그레이트북스,2012,911,HBML00226
거란을 물리친 고려,"김우택 글,김창희 그림",그레이트북스,2010,911,HBML00227
"이성계,  새 나라를 세우다","강문식 글,민은정 그림",그레이트북스,2014,911.008,HBML00228
조선의 도읍 한양에 가다,"신병주 글,김태형 그림",그레이트북스,2014,911.008,HBML00229
중립 외교를 펼친 광해군,"김경래 글,송효정 그림",그레이트북스,2012,911,HBML00230
명화로 보는 나폴레옹 전쟁,"박세준,박애라 글,김유강,이주영 그림",교원,2014,909,HBML00232
쓰레기는 어디로 갈까,"폴 샤워스 글,랜디 추닝 그림,햇살과 나무꾼 옮김",웅진다책:웅진씽크빅,2008,408,HBML00233
불가사리,"이디스 허드 글,로빈 브릭먼 그림,이한음 옮김",웅진다책:웅진씽크빅,2008,408,HBML00234
"미는 힘,  당기는 힘","킴벌리 브래들리 글,폴 메이젤 그림,김희봉 옮김",웅진다책:웅진씽크빅,2013,408,HBML00235
집 짓는 거미,"멜빈 버거 글,S.D. 신들러 그림,햇살과 나무꾼 옮김",웅진다책:웅진씽크빅,2013,408,HBML00236
크고 작은 공룡들,"캐슬린 조펠드 글,루시아 워시번 그림,이한음 옮김",웅진다책:웅진씽크빅,2013,408,HBML00237
꿈틀꿈틀 일하는 지렁이,"웬디 페퍼 글,스티브 젱킨스 그림,햇살과 나무꾼 옮김",웅진다책:웅진씽크빅,2013,408,HBML00238
국제 우주 정거장,"프랭클린 브랜리 글,트루 켈리 그림,햇살과나무꾼 옮김",웅진다책:웅진씽크빅,2013,408,HBML00239
아기 펭귄,"베티 테덤 글,헬렌 데이비 그림,이한음 옮김",웅진다책:웅진씽크빅,2008,408,HBML00240
공룡은 저마다 달라,"알리키 글·그림,이한음 옮김",웅진다책:웅진씽크빅,2013,408,HBML00241
"먹고,  먹히고","패트리샤 로버 글,할리 켈러 그림,햇살과나무꾼 옮김",웅진다책,2009,408,HBML00242
돌을 모으러 가자,"로마 간스 글,할리 켈러 그림,햇살과나무꾼 옮김",웅진다책:웅진씽크빅,2008,408,HBML00243
달걀 속의 비밀,"에이미 스클랜스키 글,팸 패퍼론 그림,윤소영 옮김",웅진다책,2009,408,HBML00244
신기한 자석,"프랭클린 브랜리 글,트루 켈리 그림,햇살과나무꾼 옮김",웅진다책:웅진씽크빅,2008,408,HBML00245
사림의 시대가 열리다,"손웅섭 글,김대중 그림",그레이트북스,2012,911,HBML00246
고려의혼란이 시작되다,송용덕,그레이트북스,2009,911,HBML00247
고려 몽골에 무릎을 끊다,이영미,그레이트북스,2011,911,HBML00248
고려의 마지막 불꽃 공민왕,이영미,그레이트북스,2011,911,HBML00249
조선의 기틀을 닦은 태종과 세종,"이정민 글,김미선 그림",그레이트북스,2013,911,HBML00250
세조와 성종,강문식,Macmillan,1974,598.2973,HBML00251
(보고 상상하고) 우리 역사 박물관,"이정민 글,권태균,양희석 사진,방대훈...외 그림",그레이트북스,2012,911,HBML00252
청나라의 침략을 당하다,"신병주 글,오승철 그림",그레이트북스,2013,911,HBML00253
바다와 육지에서 왜적을 물리치다,"유현재 글,김창희 그림",그레이트북스,2014,911.008,HBML00254
조선을 다시 일으킨 영조와 정조,"노대환 글,강소희 그림",그레이트북스,2013,911,HBML00255
한반도에 사람이 살기 시작하다,"성현경 글,최나미 그림",그레이트북스,2012,911,HBML00256
고조선을 이은 새로운 나라들,"김용만 글,김이조 그림",그레이트북스,2012,911,HBML00257
주몽이 고구려를 세우다,"김용만 글,김숙경 그림",그레이트북스,2010,911,HBML00258
"땅,  땅,  땅을 넓혀라!","김용만 글,장선환 그림",그레이트북스,2012,911,HBML00259
강한 나라 고구려의 비밀,"김용만 글,조재석 그림",그레이트북스,2014,911,HBML00260
한강을 잃고 남쪽으로,"박윤규 글,주영근 그림",그레이트북스,2014,911,HBML00261
고려 사람들은 어떻게 살았을까?,"정요근 글,여미경 그림",그레이트북스,2010,911,HBML00262
의상대사 : 불심으로 나라를 구하다 : 삼국유사,"일연 원작,구들 글,홍영지 그림",한국퍼킨스,2014,911.03,HBML00263
노힐부득과 달달박박 : 미륵부처와 아미타부처가 되다,"원작: 일연, 구들, 심춘수",한국퍼킨스,2012,911.03,HBML00264
"내 쪽지,  내놓아!","이상교 글,심미아 그림",교원,2008,408,HBML00265
숲의 표범 레오와 강의 악어 아르코,슈테판 브륄하르트   그림,교원,2005,808.9,HBML00266
팔락이의 채소밭,"백미숙 글,강산 그림",교원,2012,408,HBML00267
잠자리가 된 애벌래 : 생물 : 곤충의 한살이,"양재홍 글,유진희 그림",교원,2003,408,HBML00268
지네 아저씨의 양말,"허은미 글,최숙희 그림",교원,2008,408,HBML00269
"으악,  해골이 나타났다!","박자경 글,곽선영 그림",교원,2012,408,HBML00270
백제 중흥의 꿈은 무너지고,"박윤규 글,김송이 그림",그레이트북스,2012,911,HBML00271
서라벌의 작은 나라 신라,"김운의 글,이육남 그림",그레이트북스,2012,911,HBML00272
나라 안팎을 튼튼히 하다,"김운의 글,정다이 그림",그레이트북스,2014,911.008,HBML00273
(보고 상상하고) 우리 역사 박물관,"유새롬 글,권태균,양희석 사진,방대훈...외 그림",그레이트북스,2012,911,HBML00274
고려의 기틀을 다져라,"송용덕 글,오진욱 그림",그레이트북스,2012,911,HBML00275
거란을 물리친 고려,"김우택 글,김창희 그림",그레이트북스,2010,911,HBML00276
타조 모양의 육식공룡,이융남,한국아이엔이,2006,457,HBML00277
우리 겨레 첫 나라 고조선,"글 송호정,그림 최미란",그레이트북스,2010,911,HBML00278
무너지는 천년 왕국,"김운의 글,양순옥 그림",그레이트북스,2010,911,HBML00279
음악 천재 모차르트,"샤를로트 뢰데레, 이정주",웅진씽크빅,2020,375.1,HBML00280
불교의 나라 신라,"전형전 글,구보람 그림",그레이트북스,2010,911,HBML00281
통일신라의빛과그림자,김운의,그레이트북스,2009,911,HBML00282
"안녕,  동물!",글· 레몬 리본 스튜디오,웅진씽크빅 :웅진북클럽,2020,375.1,HBML00283
"(선사 시대를 지배한 1, 300마리 동물과) 공룡을 찾아라","제인 빙엄, 이언 잭슨, 박인용",오로라북스,2006,457,HBML00284
"(6, 500만 년 전 지구상에서 사라진) 공룡찾기","로지 헤이우드 글,스튜디오 갈란테,잉크링크 피렌체 공 그림",오로라북스,2012,457,HBML00285
제 탓이 아니에요,"카를 노라크 글,마리 조제 사크레 그림",교원,2006,808.9,HBML00286
세계 곳곳의 초식공룡,이융남,한국아이엔이,2006,457,HBML00287
(할아버지) 원시공룡,이융남,한국아이엔이,2006,457,HBML00288
온순한 초식공룡,이용남,한국아이엔이,2006,457,HBML00289
사냥꾼 육식공룡,이용남,한국아이엔이,2006,457,HBML00290
아시아 몽골의 육식공룡,이용남,한국아이엔이,2006,457,HBML00291
싸움꾼 육식공룡,이용남,한국아이엔이,2006,457,HBML00292
캥거루는 뜀뛰기 챔피언,"이은하 글,최민주 그림",훈민출판사:한국갈릴레이,2007,813.8082,HBML00293
세상에서 가장 아름다운 자동차,야마다 아유미 글.그림,한국슈타이너,2008,808,HBML00294
